icao24,origin_country,velocity,on_ground
39de4f,France,235.04,0
39de4e,France,215.71,0
4b1817,Switzerland,208.0,0
a5a8e2,United States,100.77,0
4b1819,Switzerland,177.6,0
ab76bc,United States,58.07,0
ac96b8,United States,206.57,0
a46e70,United States,145.17,0
a57b26,United States,46.3,0
aa56db,United States,273.87,0
aa56da,United States,262.58,0
39de4b,France,88.39,0
7c6b2d,Australia,85.1,0
39de4d,France,214.68,0
88044d,Thailand,144.3,0
39de57,France,225.18,0
a77ec5,United States,163.92,0
abd9d9,United States,180.62,0
ab6fdd,United States,81.08,0
a3b87f,United States,194.42,0
440da5,Austria,225.66,0
39de51,France,205.73,0
39de50,France,222.31,0
39de53,France,223.25,0
a808c1,United States,53.36,0
39de55,France,210.41,0
39de54,France,147.54,0
a3f2ae,United States,46.58,0
a21b85,United States,53.98,0
4b1805,Switzerland,13.89,1
a34e6a,United States,180.31,0
aa56d4,United States,251.02,0
80163d,India,251.74,0
ad4f0b,United States,180.91,0
aa56d5,United States,266.74,0
801649,India,229.0,0
aa3cc2,United States,61.58,0
4b1800,Switzerland,174.95,0
ac7cb2,United States,2.57,1
4b1801,Switzerland,0.0,1
4b1802,Switzerland,0.0,1
acdfa6,United States,204.97,0
7c6b30,Australia,230.19,0
a33b52,United States,127.11,0
aae316,United States,0.32,1
4952ca,Portugal,124.87,0
00b22d,South Africa,255.48,0
4952cb,Portugal,220.76,0
4952cc,Portugal,125.7,0
80163f,India,264.81,0
4952cd,Portugal,200.71,0
a36898,United States,218.31,0
a665c5,United States,10.8,1
acdfa3,United States,233.61,0
00b22f,South Africa,76.88,0
a4c54a,United States,56.4,0
a798f5,United States,48.49,0
a4ab44,United States,270.49,0
a3a578,United States,204.85,0
801616,India,246.89,0
a5954e,United States,246.09,0
aa9300,United States,299.09,0
aaa6e4,United States,220.88,0
abacb6,United States,210.93,0
a22233,United States,54.89,0
a5955b,United States,234.26,0
a798ea,United States,54.15,0
aa69db,United States,159.43,0
aadc41,United States,63.51,0
a438f1,United States,197.58,0
a175fa,United States,195.17,0
a21b44,United States,161.26,0
4b181a,Switzerland,6.94,1
4b181b,Switzerland,199.95,0
4b181c,Switzerland,180.35,0
4952c9,Portugal,114.24,0
aa56b5,United States,252.35,0
a46e40,United States,239.28,0
aa56b8,United States,206.95,0
a808d8,United States,82.55,0
adb930,United States,68.03,0
ad4f2a,United States,82.64,0
a1fb33,United States,172.3,0
ad5623,United States,0.06,1
80161c,India,159.02,0
ad3c27,United States,182.53,0
a2f8f5,United States,63.16,0
aa56b3,United States,159.07,0
a1c5e0,United States,87.29,0
abacc4,United States,8.75,1
a0e250,United States,185.66,0
4952c7,Portugal,127.62,0
488252,Poland,232.29,0
acf9cf,United States,38.59,0
39de45,France,174.36,0
440db0,Austria,212.08,0
39de48,France,234.41,0
ac2f5a,United States,218.29,0
a2ded8,United States,166.05,0
ab63d7,United States,226.36,0
ad694c,United States,223.29,0
51113f,Estonia,103.17,0
a33b1e,United States,193.7,0
a34215,United States,255.52,0
80161d,India,96.7,0
80161e,India,219.76,0
a2355d,United States,219.58,0
a532cd,United States,40.25,0
aa4fc9,United States,59.7,0
39de44,France,227.12,0
511187,Estonia,227.84,0
80166d,India,237.12,0
44028c,Austria,135.7,0
adeca5,United States,200.65,0
ac498c,United States,248.38,0
a34280,United States,61.21,0
e8023a,Chile,236.1,0
511189,Estonia,226.28,0
aadc4a,United States,48.42,0
e4943e,Brazil,239.81,0
aaef89,United States,0.0,1
ad564b,United States,76.2,0
801683,India,179.8,0
a47597,United States,210.98,0
801689,India,131.71,0
51116f,Estonia,232.91,0
a61815,United States,258.41,0
ad3c1f,United States,152.1,0
a950df,United States,132.28,0
4bc8c6,Turkey,265.82,0
40814a,United Kingdom,84.45,0
4bc8c5,Turkey,249.93,0
e49445,Brazil,237.48,0
4bc8c2,Turkey,4.12,0
a7b057,United States,260.1,0
ab0361,United States,231.91,0
80167f,India,121.99,0
ad3c48,United States,221.57,0
a2d2eb,United States,230.14,0
abf008,United States,227.43,0
e4944e,Brazil,227.72,0
511171,Estonia,226.59,0
abb3be,United States,229.39,0
511170,Estonia,233.36,0
a46e8d,United States,205.94,0
a6f0ea,United States,88.63,0
aae34c,United States,214.53,0
801698,India,151.1,0
801699,India,193.22,0
a127a4,United States,77.4,0
a58e1e,United States,115.92,0
a2d2f2,United States,193.16,0
ad4341,United States,54.53,0
3442cb,Spain,139.11,0
3442cc,Spain,144.49,0
a963f7,United States,246.28,0
a1b2ee,United States,217.0,0
ad5679,United States,110.12,0
a5a8c3,United States,41.56,0
acdffc,United States,225.49,0
471efb,Hungary,70.58,0
a3a538,United States,265.65,0
801659,India,289.79,0
471efe,Hungary,234.24,0
40812e,United Kingdom,178.66,0
a0db99,United States,36.96,0
801665,India,265.89,0
ad3006,United States,0.0,1
51118a,Estonia,193.18,0
a34268,United States,228.0,0
ad9cd9,United States,46.95,0
7c6b3b,Australia,125.3,0
a678cf,United States,239.62,0
80165c,India,235.94,0
abfc71,United States,273.69,0
