icao24,origin_country,velocity,on_ground
aae377,United States,188.37,0
a4d84d,United States,54.37,0
a34e97,United States,0.51,1
408134,United Kingdom,250.71,0
a9a0b6,United States,38.92,0
7c6b3d,Australia,238.5,0
a5951e,United States,59.38,0
abf025,United States,0.0,1
a3b86c,United States,67.91,0
a2e5ef,United States,59.3,0
801671,India,221.56,0
a59537,United States,84.85,0
a94b51,United States,271.5,0
c01b6c,Canada,188.98,0
ac21e4,United States,247.79,0
abad94,United States,224.51,0
a8a88b,United States,196.76,0
0d0ae3,Mexico,223.37,0
a4b288,United States,58.15,0
a94b4d,United States,188.57,0
a127d3,United States,47.67,0
4b187b,Switzerland,196.56,0
ad8a4b,United States,35.16,0
4b187c,Switzerland,223.58,0
3c65ae,Germany,222.02,0
ade106,United States,25.72,0
ac21f5,United States,78.36,0
accd69,United States,230.46,0
a902ae,United States,59.27,0
aae1ea,United States,232.25,0
4b187a,Switzerland,164.78,0
acd43a,United States,7.72,1
440248,Austria,233.9,0
3455d8,Spain,205.43,0
3455d9,Spain,198.35,0
4b1887,Switzerland,229.04,0
adb7ee,United States,176.41,0
a9a21a,United States,55.51,0
0d0af1,Mexico,102.9,0
a71264,United States,259.71,0
a05776,United States,192.4,0
861f44,Japan,265.56,0
0d11cc,Mexico,0.0,1
4b1880,Switzerland,205.97,0
0d0af7,Mexico,185.21,0
4b1882,Switzerland,221.4,0
44023f,Austria,3.86,1
ac1afa,United States,231.63,0
ad9136,United States,43.41,0
e8021a,Chile,232.74,0
a6eb93,United States,53.39,0
3c5ee6,Germany,214.66,0
3c5ee5,Germany,218.87,0
a8f5be,United States,163.08,0
86d6ac,Japan,184.35,0
a9653d,United States,244.0,0
4bc8ce,Turkey,112.0,0
3c65d4,Germany,218.33,0
4bc8cc,Turkey,236.42,0
3c65d2,Germany,134.04,0
4bc8ca,Turkey,256.99,0
a1c705,United States,46.82,0
3c65c7,Germany,199.02,0
a29713,United States,106.76,0
a94b2b,United States,112.58,0
acd486,United States,131.84,0
3c65c8,Germany,71.26,0
ae013b,United States,208.03,0
ad41ed,United States,0.0,1
a45b96,United States,214.88,0
aab9a3,United States,42.56,0
3c5ef6,Germany,239.59,0
a127bb,United States,255.17,0
0d11f9,Mexico,234.21,0
a94b48,United States,203.37,0
46b82c,Greece,157.2,0
46b82f,Greece,258.05,0
a3428e,United States,2.83,1
ae5ae4,United States,4.12,1
a5d28c,United States,3.34,1
a04424,United States,241.98,0
a9a204,United States,113.93,0
3c65cc,Germany,203.44,0
c07bc7,Canada,145.38,0
a1c767,United States,30.77,0
440219,Austria,127.42,0
a0dac5,United States,266.69,0
a71e76,United States,35.11,0
a89ecd,United States,70.03,0
46b832,Greece,272.98,0
0c4184,Dominican Republic,240.31,0
a9c834,United States,49.01,0
a1a110,United States,244.13,0
a94b0b,United States,239.54,0
a27d48,United States,76.14,0
440209,Austria,75.86,0
ae61e0,United States,223.54,0
aded7e,United States,37.89,0
ac491d,United States,186.74,0
ac2f18,United States,239.81,0
a101c3,United States,239.5,0
a5958c,United States,217.84,0
a8f5c5,United States,0.0,1
a8584a,United States,203.75,0
aa9f97,United States,265.11,0
ae147f,United States,145.55,0
a1ad49,United States,118.11,0
a915cf,United States,197.79,0
c82439,New Zealand,269.63,0
c07be8,Canada,85.77,0
aa099e,United States,252.49,0
aaef21,United States,200.62,0
ab1628,United States,255.11,0
a70b5a,United States,49.54,0
0d0ac1,Mexico,251.71,0
abd9b6,United States,232.13,0
aaf617,United States,193.28,0
44022b,Austria,0.0,1
a57b8b,United States,229.79,0
aa43c4,United States,9.26,1
a04462,United States,30.58,0
a94b05,United States,6.17,1
a8a82f,United States,80.77,0
a94b08,United States,250.22,0
a39d11,United States,220.09,0
a915b4,United States,76.13,0
a29748,United States,210.13,0
47b0e7,Norway,144.94,0
a1775f,United States,216.08,0
aadc11,United States,29.03,0
a8a847,United States,258.97,0
a114cf,United States,71.14,0
aa931d,United States,99.87,0
e80205,Chile,224.09,0
ab6418,United States,69.17,0
a1a144,United States,39.7,0
8014a3,India,274.73,0
a1515b,United States,217.02,0
aa07f9,United States,254.18,0
c0482a,Canada,76.05,0
a71dab,United States,55.68,0
a3ed69,United States,220.87,0
a76d1c,United States,61.39,0
4aca9a,Sweden,216.06,0
a88d01,United States,150.74,0
a77412,United States,0.0,1
a4c4aa,United States,230.85,0
a88d00,United States,225.01,0
733074,Islamic Republic of Iran,139.94,0
a2e77a,United States,49.58,0
782000,China,239.34,0
a2d44a,United States,57.36,0
aaedb9,United States,160.29,0
a2d44b,United States,61.34,0
a4fa12,United States,52.99,0
a617e2,United States,42.7,0
a41447,United States,263.22,0
800dba,India,138.25,0
885221,Thailand,247.28,0
7c7cc4,Australia,61.89,0
a1c797,United States,46.4,0
a737c7,United States,6.69,1
c0481b,Canada,0.0,0
ace703,United States,107.97,0
a4d7eb,United States,242.65,0
a58ded,United States,66.38,0
a0318b,United States,169.07,0
8014ae,India,228.53,0
a71db6,United States,179.07,0
7c1c45,Australia,130.71,0
a00929,United States,252.82,0
accd13,United States,197.05,0
a39113,United States,245.7,0
a4aabc,United States,23.16,0
4aca81,Sweden,6.43,1
a1b453,United States,44.88,0
accd10,United States,0.51,1
4aca84,Sweden,223.43,0
ad9d0f,United States,27.21,0
4aca88,Sweden,0.0,0
c0484c,Canada,47.18,0
accd18,United States,226.71,0
aaedbd,United States,69.09,0
a21ad6,United States,40.52,0
ac9752,United States,41.37,0
aaedbf,United States,25.22,0
a091f3,United States,208.04,0
a1b44f,United States,83.02,0
a0f4f6,United States,284.28,0
a52d6a,United States,34.2,0
ab14d9,United States,216.18,0
a21abf,United States,45.58,0
a9529a,United States,37.23,0
a6a414,United States,60.97,0
4aca93,Sweden,223.69,0
4aca92,Sweden,242.84,0
a7bd16,United States,180.28,0
ab5d62,United States,62.01,0
a2e760,United States,61.99,0
a3ed96,United States,95.26,0
4aca98,Sweden,228.26,0
a14a77,United States,70.42,0
ac7103,United States,216.39,0
a70aa1,United States,253.79,0
8a0479,Indonesia,230.49,0
4aca8b,Sweden,228.44,0
4aca8c,Sweden,232.11,0
a7d725,United States,185.55,0
4aca8f,Sweden,237.93,0
75833a,Philippines,300.54,0
a857c2,United States,189.36,0
344498,Spain,135.04,0
a4c4f1,United States,85.92,0
344495,Spain,8.75,1
a3f401,United States,254.85,0
a27190,United States,131.51,0
ab6458,United States,168.45,0
e492b5,Brazil,205.94,0
a52d10,United States,42.18,0
e49eef,Brazil,83.88,0
c81d9d,New Zealand,217.11,0
0d0b8b,Mexico,78.19,0
8014dd,India,73.57,0
ace756,United States,49.2,0
adb7c1,United States,34.28,0
3c5eee,Germany,223.43,0
86d5b6,Japan,235.37,0
a3b7d1,United States,3.09,1
ac1ab8,United States,242.8,0
471f8f,Hungary,201.23,0
3c65da,Germany,212.58,0
471f8e,Hungary,223.37,0
ac2dea,United States,3.86,1
4400f3,Austria,176.83,0
accd22,United States,60.46,0
a3b7cb,United States,223.93,0
344481,Spain,128.3,0
a9527f,United States,156.7,0
a39165,United States,251.22,0
8014f8,India,197.72,0
a40d8d,United States,1.54,1
8014f2,India,231.05,0
c07070,Canada,54.8,0
a39d9b,United States,263.04,0
78203e,China,168.43,0
a3915a,United States,226.83,0
343147,Spain,224.73,0
471f9e,Hungary,197.75,0
758304,Philippines,185.83,0
adf422,United States,40.43,0
516097,Montenegro,220.2,0
e49eca,Brazil,92.99,0
c0480c,Canada,71.6,0
a40d7a,United States,5.66,1
471f81,Hungary,209.96,0
471f87,Hungary,227.74,0
a94b6b,United States,242.37,0
a96595,United States,35.82,0
471f6f,Hungary,267.03,0
a33afd,United States,264.94,0
abc780,United States,263.99,0
86d5d8,Japan,225.7,0
abfac6,United States,211.2,0
a2cd7e,United States,55.94,0
a2ba4f,United States,207.82,0
a33afa,United States,155.43,0
c04826,Canada,200.46,0
8014c8,India,229.35,0
48597e,Kingdom of the Netherlands,220.86,0
a2cd90,United States,105.67,0
e49ed5,Brazil,193.26,0
e48ba7,Brazil,251.22,0
495303,Portugal,183.25,0
a3f436,United States,238.57,0
accd46,United States,44.25,0
abad6c,United States,206.05,0
a53436,United States,224.09,0
34444b,Spain,74.72,0
3b7b94,France,55.07,0
8014cf,India,208.82,0
471f7a,Hungary,194.98,0
ab5d9d,United States,240.97,0
aa0909,United States,227.9,0
3c6745,Germany,182.74,0
4a2022,Romania,263.25,0
471f69,Hungary,78.7,0
471f67,Hungary,210.83,0
440cff,Austria,200.38,0
aaee9c,United States,269.93,0
adebc3,United States,65.4,0
a3e18e,United States,48.49,0
a27ca5,United States,46.2,0
a9044d,United States,263.85,0
acd2be,United States,169.22,0
0d0b4b,Mexico,232.96,0
a88d88,United States,212.89,0
acd2d3,United States,262.3,0
a64172,United States,3.09,1
abb2d5,United States,203.13,0
344449,Spain,206.07,0
a4d905,United States,140.51,0
471f4c,Hungary,215.55,0
a7b133,United States,127.49,0
ab0286,United States,53.92,0
a6f1d3,United States,55.19,0
a1bfb2,United States,226.23,0
0d123a,Mexico,156.07,0
a88d6f,United States,198.5,0
471f71,Hungary,220.59,0
c08354,Canada,122.18,0
a6417a,United States,258.65,0
471f70,Hungary,241.79,0
471f75,Hungary,240.25,0
471f73,Hungary,259.07,0
a03ce6,United States,207.43,0
a35605,United States,6.69,1
e48043,Brazil,3.86,1
471f5c,Hungary,237.82,0
471f5d,Hungary,199.86,0
a8e45c,United States,224.71,0
4400b2,Austria,245.39,0
a90488,United States,18.64,0
408064,United Kingdom,253.53,0
408062,United Kingdom,226.59,0
a3b943,United States,56.08,0
408067,United Kingdom,224.93,0
471f41,Hungary,187.68,0
4400dc,Austria,117.81,0
a9046d,United States,231.74,0
e48014,Brazil,174.17,0
8014fa,India,286.71,0
471f58,Hungary,219.85,0
471f55,Hungary,199.43,0
a99a35,United States,92.33,0
a16fd9,United States,80.53,0
a09f4d,United States,38.45,0
c07c7b,Canada,187.86,0
408051,United Kingdom,239.5,0
408052,United Kingdom,231.81,0
471f54,Hungary,224.21,0
4248a7,United Kingdom,70.45,0
a189f2,United States,259.74,0
abfb7c,United States,138.11,0
a10308,United States,31.75,0
a831e5,United States,97.23,0
a831e4,United States,43.32,0
a94ad9,United States,65.82,0
40803c,United Kingdom,155.09,0
3c6702,Germany,68.22,1
a724e3,United States,63.33,0
a6fde8,United States,133.76,0
a10f99,United States,36.58,0
a3696e,United States,137.12,0
a22f6f,United States,194.47,0
a40cb0,United States,0.06,1
a8941f,United States,41.27,0
a8941e,United States,32.0,0
a7d754,United States,217.36,0
a1fc3b,United States,13.38,1
a95dd3,United States,149.12,0
0d1201,Mexico,214.21,0
801600,India,281.86,0
a90419,United States,171.09,0
a7d751,United States,136.33,0
a0802e,United States,47.01,0
3c6713,Germany,233.09,0
3c6712,Germany,247.99,0
a1bff9,United States,110.7,0
3c6711,Germany,215.72,0
a40ca4,United States,237.54,0
3c6717,Germany,233.45,0
440cab,Austria,69.06,0
440cac,Austria,226.25,0
a34f59,United States,80.29,0
a82aa0,United States,212.24,0
a2f9f5,United States,41.06,0
471f38,Hungary,239.94,0
a1bff3,United States,55.34,0
a163f2,United States,0.0,1
801606,India,203.76,0
a9b4a4,United States,142.46,0
471f31,Hungary,215.19,0
ad559e,United States,40.38,0
a41fd1,United States,3.6,1
a426b3,United States,79.76,0
a63a53,United States,61.79,0
a95de2,United States,250.6,0
801611,India,253.46,0
0d1218,Mexico,141.37,0
471f02,Hungary,233.78,0
471f03,Hungary,241.77,0
a163ad,United States,221.6,0
a030a8,United States,238.77,0
440cdb,Austria,248.42,0
a4b1f6,United States,37.91,0
471f06,Hungary,204.17,0
a1bfe4,United States,61.61,0
a4b1f9,United States,41.47,0
471f04,Hungary,201.41,0
c07c4c,Canada,40.52,0
a7745c,United States,189.77,0
471f05,Hungary,250.84,0
0d0b38,Mexico,101.28,0
4008ad,United Kingdom,217.95,0
3c670b,Germany,295.77,0
a426a5,United States,89.65,0
aaa724,United States,42.64,0
a6eae3,United States,212.25,0
a296ce,United States,40.72,0
a8943d,United States,265.91,0
3c670c,Germany,227.81,0
a977bb,United States,205.42,0
a76d90,United States,207.07,0
a90439,United States,53.11,0
a36961,United States,92.82,0
a296e5,United States,45.4,0
4008ae,United Kingdom,136.89,0
e07543,Argentina,227.75,0
a1bfd7,United States,188.74,0
c08335,Canada,10.8,1
ac970f,United States,219.04,0
aa9de7,United States,209.12,0
0d121b,Mexico,192.2,0
0d121d,Mexico,240.93,0
a3560b,United States,209.0,0
a63a83,United States,188.69,0
a857ff,United States,43.65,0
a76134,United States,193.9,0
0d1233,Mexico,224.43,0
a64163,United States,210.81,0
4951cb,Portugal,122.95,0
a4019e,United States,43.73,0
a176ea,United States,52.52,0
4951cd,Portugal,215.33,0
a65490,United States,196.66,0
7c4929,Australia,0.0,1
a4bf70,United States,165.83,0
aa9440,United States,64.32,0
80174a,India,199.56,0
a2c0b9,United States,65.61,0
c07e2c,Canada,212.27,0
a82c08,United States,59.86,0
a4d97e,United States,204.45,0
a809da,United States,135.88,0
a150f7,United States,240.07,0
a64cc6,United States,52.5,0
abc7c6,United States,222.6,0
40822d,United Kingdom,240.88,0
a72640,United States,143.33,0
40822e,United Kingdom,239.78,0
ad07ae,United States,18.25,0
ace7aa,United States,0.0,1
ac2412,United States,231.09,0
ac1d1b,United States,68.91,0
8a01de,Indonesia,235.66,0
a666d0,United States,114.91,0
407b55,United Kingdom,215.96,0
80175f,India,215.55,0
a5cc35,United States,132.85,0
348084,Spain,253.73,0
aa57df,United States,296.24,0
ac3751,United States,281.63,0
c07e32,Canada,224.99,0
801778,India,159.67,0
ad4407,United States,41.19,0
00c451,South Africa,87.62,0
c02ec7,Canada,287.13,0
a533ca,United States,219.9,0
ab4ac3,United States,0.06,1
c048cb,Canada,116.18,0
3c6598,Germany,59.54,0
ac97e3,United States,213.6,0
3c6597,Germany,3.86,1
39d314,France,214.3,0
a40cd9,United States,215.8,0
408227,United Kingdom,206.02,0
a7cfcc,United States,56.73,0
39d317,France,221.23,0
c035cc,Canada,209.73,0
ac0a22,United States,236.16,0
a69c3f,United States,94.22,0
a22358,United States,224.28,0
a60675,United States,63.92,0
a64ce6,United States,232.35,0
a08057,United States,189.13,0
ab9a32,United States,226.36,0
39d312,France,207.89,0
39d313,France,204.62,0
a7e9de,United States,50.67,0
abc7e9,United States,257.68,0
801744,India,8.75,1
ad4419,United States,45.73,0
a2e6dd,United States,34.79,0
a6a3b7,United States,101.33,0
ad574f,United States,220.32,0
ad07cc,United States,133.42,0
a83f56,United States,174.52,0
a71337,United States,238.11,0
a283f4,United States,221.68,0
80172e,India,125.63,0
4402a3,Austria,236.57,0
a3f3ed,United States,49.74,0
a34f7f,United States,265.39,0
abfd39,United States,212.37,0
c08537,Canada,285.52,0
a57030,United States,192.03,0
a7e9e4,United States,154.67,0
a08065,United States,77.15,0
a1fc56,United States,40.49,0
a7e9e7,United States,216.02,0
801749,India,114.28,0
a47647,United States,66.74,0
a5e65f,United States,50.51,0
0d0b04,Mexico,236.09,0
a85964,United States,125.84,0
a40cc1,United States,48.29,0
408210,United Kingdom,201.34,0
a21c6d,United States,50.63,0
a7130c,United States,217.13,0
ab51c2,United States,50.17,0
801752,India,243.93,0
a46310,United States,209.05,0
a2dff5,United States,43.8,0
8852e2,Thailand,216.86,0
a2101f,United States,236.7,0
00c45f,South Africa,100.89,0
ada70c,United States,39.83,0
00c45d,South Africa,194.25,0
a5cc3c,United States,250.01,0
c02ee7,Canada,213.79,0
a36994,United States,273.25,0
a809f5,United States,218.82,0
39d30b,France,215.62,0
e49329,Brazil,231.36,0
ac377b,United States,201.18,0
ac6abf,United States,211.45,0
aae465,United States,203.7,0
3c7878,Germany,205.23,0
a2107b,United States,205.87,0
3c786b,Germany,238.75,0
407b8b,United Kingdom,215.33,0
a0a80e,United States,170.77,0
abadf6,United States,74.17,0
407b8e,United Kingdom,128.12,0
3c4b31,Germany,255.02,0
3c4b27,Germany,249.17,0
acd4bb,United States,82.19,0
39e68b,France,140.83,0
ad07eb,United States,134.39,0
39e68c,France,221.58,0
a4d946,United States,188.05,0
3c6542,Germany,193.67,0
3c6541,Germany,231.71,0
348049,Spain,190.54,0
a0583d,United States,73.35,0
a33c9d,United States,55.91,0
a53fcd,United States,65.47,0
3c4b2e,Germany,231.44,0
ab0485,United States,226.64,0
a390de,United States,119.77,0
0d10f8,Mexico,211.16,0
a546c9,United States,127.14,0
a9ea6a,United States,2.57,1
a3a647,United States,123.33,0
aadd88,United States,33.55,0
abea2f,United States,27.15,0
3c654d,Germany,1.29,1
80179b,India,0.64,1
ab9a5b,United States,261.4,0
0d10ec,Mexico,236.8,0
ab9a5c,United States,85.57,0
a61949,United States,215.17,0
a3a63c,United States,71.45,0
3c6551,Germany,190.43,0
ad3d4e,United States,220.41,0
a1a0ff,United States,185.09,0
a9ea5d,United States,154.42,0
e49f6d,Brazil,0.77,1
ad3113,United States,41.87,0
ac1d80,United States,131.99,0
ad4461,United States,250.04,0
408262,United Kingdom,229.94,0
39e681,France,98.05,0
39e683,France,94.4,0
a64ca0,United States,119.63,0
a9ea45,United States,36.77,0
a3569f,United States,41.88,0
39e687,France,192.41,0
ab048d,United States,215.54,0
aba1c9,United States,231.07,0
a0808f,United States,129.15,0
0d10fe,Mexico,245.27,0
a52cc8,United States,157.94,0
801783,India,131.0,0
a05827,United States,58.03,0
801788,India,72.02,0
acd4db,United States,266.88,0
abb4ea,United States,99.25,0
407b70,United Kingdom,238.1,0
a69c01,United States,167.41,0
abea47,United States,280.52,0
a1f068,United States,174.34,0
4cc279,Iceland,230.36,0
ac379a,United States,235.13,0
80044b,India,173.08,0
ac0a75,United States,218.86,0
ad5785,United States,160.95,0
acd4d7,United States,173.93,0
a2239c,United States,35.43,0
a5cc19,United States,19.03,1
80177e,India,239.68,0
a5cc15,United States,10.8,1
80044e,India,224.55,0
a008c5,United States,205.15,0
a4bf67,United States,33.45,0
a5cc13,United States,213.83,0
a5cc12,United States,263.87,0
39e694,France,124.5,0
a008c9,United States,197.81,0
3c656c,Germany,245.71,0
801793,India,147.71,0
40823f,United Kingdom,227.91,0
800463,India,68.94,0
a3ecce,United States,258.52,0
39e691,France,242.26,0
a6ff14,United States,138.62,0
a413e1,United States,51.57,0
ae4a27,United States,101.41,0
a128a5,United States,45.27,0
3c6571,Germany,235.48,0
ae4a25,United States,96.04,0
ae4a26,United States,72.75,0
3443cc,Spain,16.46,0
40823c,United Kingdom,226.19,0
e49314,Brazil,165.01,0
ac71e7,United States,191.55,0
40823d,United Kingdom,196.99,0
3c4b4c,Germany,192.27,0
ac247a,United States,217.21,0
3c4b4b,Germany,121.5,0
a39e0c,United States,252.72,0
ada5ee,United States,198.97,0
3443d4,Spain,81.96,0
ac22fb,United States,281.77,0
a1b519,United States,125.85,0
a7b0c4,United States,228.33,0
addb47,United States,221.18,0
a34eb4,United States,35.53,0
0ac3f8,Colombia,9.77,1
c01040,Canada,75.36,0
0ac3e2,Colombia,74.0,0
0d10b3,Mexico,35.83,0
acc22d,United States,54.53,0
3c64a2,Germany,251.69,0
a94c7b,United States,111.47,0
a04568,United States,81.48,0
c0103a,Canada,7.72,1
a4a095,United States,1.03,1
a03235,United States,192.75,0
c0103e,Canada,170.67,0
c01049,Canada,226.14,0
a368ab,United States,53.22,0
a34ea4,United States,251.87,0
ad8b5f,United States,57.85,0
a7006c,United States,280.89,0
a880de,United States,142.31,0
e491b0,Brazil,6.43,1
a2981e,United States,58.49,0
a17847,United States,213.71,0
a9b63c,United States,245.84,0
3c64b1,Germany,4.12,0
4aca04,Sweden,235.7,0
3c64b0,Germany,200.95,0
3c64a6,Germany,224.4,0
a45072,United States,100.32,0
0ac3ca,Colombia,137.48,0
a15e22,United States,232.21,0
0d10bd,Mexico,77.29,0
3c64a8,Germany,211.61,0
ade252,United States,208.95,0
abb59e,United States,252.84,0
a94c4e,United States,267.33,0
e48ac5,Brazil,93.55,0
a9b642,United States,53.41,0
a5c077,United States,37.26,0
3c64af,Germany,86.94,0
a0452e,United States,31.42,0
a8f6ef,United States,76.79,0
3c64ad,Germany,232.84,0
a5c094,United States,86.69,0
0a0045,Algeria,211.72,0
e491c3,Brazil,148.31,0
a3f518,United States,226.92,0
acce9a,United States,157.16,0
addb4a,United States,0.64,1
a3b8e8,United States,78.82,0
e491ae,Brazil,0.0,1
4aca0c,Sweden,217.49,0
a1ae05,United States,111.69,0
8016a1,India,186.78,0
4aca63,Sweden,235.87,0
0a008c,Algeria,240.61,0
0a008d,Algeria,219.23,0
0a008a,Algeria,247.84,0
a04597,United States,32.93,0
a70c67,United States,234.13,0
a1ae79,United States,39.11,0
a88cbf,United States,179.13,0
a69c5d,United States,105.35,0
a5e679,United States,217.6,0
8016a6,India,126.06,0
a26b51,United States,197.99,0
a6ec56,United States,204.27,0
8016a4,India,137.77,0
8016a5,India,209.87,0
a71356,United States,60.4,0
a27e88,United States,99.04,0
a222b2,United States,0.0,1
8016a9,India,157.37,0
a0dbf2,United States,46.22,0
c02f6a,Canada,0.0,1
a1c879,United States,65.66,0
a2bb10,United States,9.26,1
c083ad,Canada,48.9,0
4aca73,Sweden,198.72,0
a6f326,United States,8.75,1
4aca74,Sweden,261.96,0
a355c8,United States,86.34,0
a3085b,United States,127.72,0
a9b62a,United States,134.88,0
a21be6,United States,84.53,0
a34ecc,United States,206.66,0
a83f63,United States,10.8,1
a6f31d,United States,24.4,0
a6a3c2,United States,240.96,0
a8e3b3,United States,254.11,0
a40e30,United States,261.11,0
02a1af,Tunisia,238.36,0
ac1d10,United States,34.5,0
0a0077,Algeria,201.56,0
471fa9,Hungary,175.44,0
ab0416,United States,220.47,0
ac1d18,United States,66.49,0
4aca45,Sweden,256.7,0
a9661f,United States,63.53,0
a28545,United States,65.92,0
a29875,United States,110.95,0
a2ce1b,United States,33.44,0
471fa4,Hungary,182.05,0
02a1b4,Tunisia,208.86,0
471fa7,Hungary,217.75,0
a40e28,United States,86.87,0
ab5dab,United States,194.36,0
a30869,United States,194.79,0
02a1b1,Tunisia,145.23,0
0a0074,Algeria,223.63,0
0a0075,Algeria,248.49,0
a248f7,United States,50.24,0
44034b,Austria,220.7,0
abc7a3,United States,220.4,0
a83340,United States,56.59,0
471fac,Hungary,246.86,0
aa2abc,United States,212.79,0
471fae,Hungary,211.18,0
ab0425,United States,233.98,0
a22ef3,United States,195.63,0
a7c3c2,United States,43.08,0
ab64b8,United States,225.64,0
aa44cd,United States,220.73,0
ac3731,United States,1.03,1
0a0086,Algeria,282.34,0
44033e,Austria,209.3,0
aa943d,United States,53.15,0
46b927,Greece,154.39,0
a5354f,United States,39.85,0
8015c1,India,271.39,0
781a1f,China,254.63,0
